"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.0094818828310193,0.0128682695563833,0.015916017609211,0.0372502539790044,0.125634947511006,0.643074839146631,0.88046054859465
"0.05",0.0494412461903149,0.0619708770741619,0.0809346427362005,0.154080596004064,0.380629867930918,0.878767355231967,0.959701997968168
"0.1",0.0995597697257027,0.123603115475787,0.153403318658991,0.270910938029123,0.58381307145276,0.937351845580765,0.980358956992889
"0.2",0.199458178123942,0.240772096173383,0.286149678293261,0.457162207924145,0.826955638333898,0.973586183542161,0.994243142566881
"0.3",0.299356586522181,0.35590924483576,0.413816457839485,0.623433796139519,0.921774466644091,0.99153403318659,0.998645445309854
"0.4",0.399593633592956,0.458516762614291,0.52827632915679,0.764307483914663,0.963088384693532,0.997290890619709,0.999322722654927
"0.5",0.499492041991195,0.574331188621741,0.644768032509313,0.896715204876397,0.989163562478835,0.999322722654927,1
"0.6",0.599390450389435,0.677615983745344,0.767016593294954,0.962072468675923,0.9962749746021,0.999661361327464,1
"0.7",0.69962749746021,0.786996274974602,0.872671859126312,0.99153403318659,0.998984083982391,1,1
"0.8",0.799525905858449,0.889265154080596,0.974263460887233,0.998306806637318,1,1,1
"0.9",0.899424314256688,0.988824923806299,0.998306806637318,1,1,1,1
"1",0.999661361327464,1,1,1,1,1,1
