"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.0094818828310193,0.014222824246529,0.022688791059939,0.0612935997290891,0.213342363697934,0.791398577717575,0.932272265492719
"0.05",0.0494412461903149,0.0670504571622079,0.0836437521164917,0.180155773789367,0.489332881815103,0.915001693193363,0.969522519471724
"0.1",0.0995597697257027,0.125634947511006,0.156789705384355,0.314933965458855,0.693870640027091,0.953606501862513,0.984761259735862
"0.2",0.199458178123942,0.249576701659329,0.307822553335591,0.529630883846935,0.876735523196749,0.980697595665425,0.99525905858449
"0.3",0.299356586522181,0.361666102268879,0.440568912969861,0.677615983745344,0.940399593633593,0.992549949204199,0.998984083982391
"0.4",0.399593633592956,0.473755502878429,0.551981036234338,0.804605485946495,0.969183880799187,0.996952251947172,0.999322722654927
"0.5",0.499492041991195,0.578056214019641,0.663393159498815,0.908228919742635,0.98780900778869,0.998984083982391,1
"0.6",0.599390450389435,0.680663731798171,0.770064341347782,0.960040636640704,0.994920419911954,1,1
"0.7",0.69962749746021,0.793091771080257,0.876396884524213,0.988824923806299,0.998984083982391,1,1
"0.8",0.799525905858449,0.884524212665086,0.965458855401287,0.997968167964782,1,1,1
"0.9",0.899424314256688,0.984083982390789,0.998306806637318,1,1,1,1
"1",0.999661361327464,1,1,1,1,1,1
