taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
33-16,1.6780774569501,-4.93733820263089,1.0029279036662,0.480402317436731,-0.232375601453998,0.685737208492922,-2.17708815310128,3.64536750326619,-0.124366305381364,0.961349181565816
38-11,-1.60217488902346,-4.73227900516272,-0.688618711818487,-4.26666857776667,1.35393112674396,-0.283390359582632,-4.15661258152678,7.21205122400637,3.65671322341963,-2.22003937784578
4226,-0.899951722550984,-6.21860902114612,2.27376549796876,-1.99020956180119,2.94065663631274,1.1017474182292,-4.92917930442299,0.0363378370461742,3.40307684210144,-1.47006823620842
4722,2.13344773287119,-6.2879300601076,5.68371612516945,-2.80504248244872,-15.918502847451,-0.130032447301561,-3.86386195280225,-4.08042416001989,-7.83899926379314,0.00843330083458903
A188,0.63023722920713,-4.89474157066082,0.818900120293802,-2.19509803850589,-2.6457624975511,-1.03323963718478,-0.0465551549774149,-1.79104659309423,3.9650279258533,1.26969611230835
A214N,-13.6690754346307,0.873630155287602,-21.6324613089458,1.63394984220014,-2.39711261645829,0.716941711940137,2.69354595369153,-2.48804624130446,-0.24913563831848,1.32575587793327
A239,-0.568084076630881,-5.94010636301771,0.330720052066856,-4.50426933090969,2.98590477391943,4.11511567423437,-2.93387957718554,0.348929906521607,5.43828899306466,2.10943110931048
A272,3.7670957619024,2.75044062294811,2.23840391424437,-1.67771583060704,-4.35259588760654,-1.5945525693416,-0.934114650212917,3.19072125666033,2.88477965977676,-0.250048933087349
A441-5,5.43272967941567,-0.151654692557712,1.0950911767421,-2.11400157367788,-0.376036907080789,-2.63942640678819,-0.185319536654045,0.0420651590045805,2.44480354292656,3.1593954478646
A554,-0.980118138798348,-5.47922201011549,1.04304921946502,-5.02159527472333,4.49968949284253,0.954403555367354,-10.2537567100598,-3.15607691840294,-0.121499064929527,-5.32732723157634
A556,0.486709444158249,-6.68121495314166,1.88534541018132,-1.9029406324527,3.76658743894096,2.89810629526678,-0.461670388447963,0.836283284084736,2.76372796490736,2.5107915645658
A6,10.4949742670572,10.454305513198,0.435227255051193,0.543922812919701,0.240510686717654,-4.5665794852166,1.31553330842621,-1.97934437921815,1.11831684302974,-4.39994637870522
A619,-0.0516207655001554,-15.4913251768542,5.29579269084505,-5.00710422327611,7.10831942865131,3.70362237728428,26.3309748230691,-8.34461415541234,-7.92889966630224,-6.00585603314733
A632,-19.6833160499124,-0.00741713268018823,-27.1228012187339,2.72798980429246,-4.59399895361856,0.334355570498088,0.577723192648126,-0.588350272244834,-5.11906397704701,0.817589739452109
A634,-18.1129771825385,0.527974825379177,-25.1777706749176,3.07476869938348,-2.41994609390626,0.554123346877019,1.12098141058951,-1.82792304505,-2.85583982099345,-0.667683966310647
A635,-18.7054657733253,-0.56640096662022,-25.3219570369279,1.98944385536157,-1.68126393319966,-0.49111385878656,1.16845811766059,-1.67350248073838,-4.27728904839308,-0.313972927518602
A641,-11.540123339051,-3.77372610145265,-17.3821171501193,2.02061857959664,-1.7042819107226,1.05114960818475,0.86952516980164,-3.85510687735515,-1.41988715574176,0.711955462501692
A654,-0.337719801292061,-5.92188846042244,-1.06323602238178,-6.92267639222244,6.11338647309536,0.895464791297619,-9.38050349822086,-4.93201355019721,2.97948405613463,-2.42055642585812
A659,-1.2430368455173,-5.41854695660122,1.59366066218028,-3.05732559278849,2.0095905072193,2.43546260448886,0.615191994442802,-1.39909051692022,2.96148202069378,1.03567636549096
A661,0.48802753147904,-5.03871807588809,2.45605338370849,-3.24684120055071,-2.54327149503445,3.01888590627893,1.35404888101701,-0.928988921027146,2.87378015254039,-3.11851341912253
A679,-30.1466826790561,13.212700175314,12.339532811499,3.48326603174589,-1.25399110687609,-1.67880416225707,0.319888955095435,-7.18739595367182,7.88168835901169,0.238986153602758
A680,-35.9770137319673,16.2340754661392,12.6161663999689,3.55880244824715,-0.516921693834594,-1.9085109632585,1.22839308259421,-8.71664348977176,7.21056544311293,1.61574061033588
A682,0.888121614064226,-8.45509262446741,0.148500440028815,10.8325815538769,3.6087680033161,1.95666661159293,-1.30430530238325,3.04494489112993,0.394564500684356,-1.77777014263184
AB28A,0.915341145367906,-2.55204152633772,1.12905018654805,-0.801702504337795,2.92663050096458,-3.20899160355579,-4.05049540140627,3.4006937141972,1.62383657308606,1.66812899558201
B10,-15.3027421327919,-1.34367617246879,-7.3520051407581,-4.02731630138512,4.52707116186246,0.720175104469244,-2.64505195985534,0.550599414206877,2.55391188588402,-0.503605349114341
B103,-3.04324143201553,-5.059405013174,-2.74327483150574,1.18910863541252,1.65219398884856,1.0621253465664,-3.59788775032641,3.62932569341894,-2.55320922352597,0.0358833360143487
B104,-21.4166877945011,4.71001319421801,1.33291626605892,0.243034432363944,1.05309663154463,0.124080292531884,-1.79209957679778,-0.425811381455904,1.08551502690436,1.96523015259089
B105,-8.41562760363773,-0.35728375530743,0.975367652685982,-3.81896932259055,0.707442372710827,1.95130732869779,-3.26567673316665,1.77532679278898,2.84423944883926,-0.446905676346256
B109,-29.9462236888539,13.3637338842588,9.21317879844991,1.57136797207833,0.110314939329931,-1.88735190339073,1.73886499161852,-3.43275641001438,5.80526577516976,2.83865790531792
B115,0.788766275627821,-4.93244362709354,0.0926407722642257,-0.900964098390739,-0.409504522874764,1.29526942514269,-0.554335180408055,1.57234477248817,1.07338994721293,1.28982583628598
B14A,-25.3697112968346,1.04398757915349,-29.3460950506816,3.11372340247488,-3.54361799585602,0.0613885996031875,2.2968072388814,-3.80066038419981,-2.82584832021175,-0.702936337482685
B164,-2.34650990187405,-3.53456196805419,0.717664489032832,-1.9624452621614,2.96326771816174,3.66772536692428,-2.51971365131257,5.35798325256764,1.20367030514468,3.78408162636571
B2,-4.16508838461633,-4.09592128773131,-1.86134205293676,-3.08614779935491,4.11715025093224,3.96426349426176,-5.68852996558569,1.32845056600875,1.177171112902,-2.82286681693746
